,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.40682983398438,156.0236053466797,-92223.4375,186.46583557128906,157.0198516845703,-170127.328125
2,184.87423706054688,155.6483917236328,-44977.09765625,186.1630096435547,156.91294860839844,-28122.9375
3,184.9242706298828,155.80604553222656,-24204.197265625,185.9179229736328,156.76893615722656,-16890.8359375
4,184.33644104003906,155.37661743164062,-14606.7021484375,185.64056396484375,156.59475708007812,-10716.828125
5,184.10435485839844,155.14199829101562,-9847.8359375,185.50665283203125,156.5679168701172,-8261.7939453125
6,183.88003540039062,155.0995635986328,-7064.25732421875,185.16397094726562,156.34298706054688,-5997.66162109375
7,183.39895629882812,154.7119598388672,-5308.82470703125,184.94760131835938,156.2294158935547,-4640.68505859375
8,183.439697265625,154.8023681640625,-4044.882568359375,184.72047424316406,156.10433959960938,-3721.22705078125
9,183.0687255859375,154.6121063232422,-3231.994873046875,184.34188842773438,155.8279571533203,-2814.961181640625
10,182.77635192871094,154.4740753173828,-2563.671630859375,183.99008178710938,155.5348663330078,-2528.15869140625
11,182.26670837402344,154.03390502929688,-2084.709716796875,183.68788146972656,155.34573364257812,-2046.8675537109375
12,182.0293426513672,153.78187561035156,-1715.135009765625,183.3138885498047,155.1411590576172,-1622.296630859375
13,181.55142211914062,153.51202392578125,-1430.4036865234375,182.85458374023438,154.83084106445312,-1282.05712890625
14,181.47354125976562,153.5749053955078,-1192.9979248046875,182.57667541503906,154.64820861816406,-1118.923583984375
15,180.62939453125,152.9508056640625,-1001.1263427734375,182.2305450439453,154.4380645751953,-982.8579711914062
16,180.56832885742188,152.95547485351562,-854.2874145507812,181.97796630859375,154.3423309326172,-791.47412109375
17,179.84161376953125,152.42022705078125,-732.692626953125,180.97772216796875,153.47755432128906,-667.526611328125
18,179.5199737548828,152.28109741210938,-625.8116455078125,180.52130126953125,153.19691467285156,-574.3352661132812
19,178.9358673095703,151.59483337402344,-537.5046997070312,180.50079345703125,153.0627899169922,-594.3516845703125
20,178.83258056640625,151.66571044921875,-474.1219787597656,180.71505737304688,153.5669403076172,-513.8089599609375
