,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,186.79180908203125,157.22122192382812,-52697.60546875,183.46871948242188,154.05203247070312,-513197.84375
2,187.1431121826172,157.7012176513672,-53895.4140625,183.46157836914062,154.1405487060547,-65435.296875
3,186.73492431640625,157.32855224609375,-49594.74609375,183.42506408691406,154.109619140625,-49119.0859375
4,186.67079162597656,157.21588134765625,-42853.4375,183.40814208984375,154.12245178222656,-47013.30078125
5,186.76187133789062,157.4049072265625,-43053.609375,183.3430633544922,154.08116149902344,-31279.87890625
6,186.30816650390625,156.88601684570312,-37797.96875,183.3257293701172,154.0657196044922,-28216.888671875
7,186.4778594970703,157.15496826171875,-34948.484375,183.2447509765625,154.00390625,-31883.3359375
8,186.3284912109375,156.95553588867188,-33042.51171875,183.21563720703125,153.962890625,-29634.208984375
9,187.03030395507812,157.6548309326172,-29360.11328125,183.20477294921875,153.94723510742188,-26224.61328125
10,186.28939819335938,156.79214477539062,-27698.8125,183.1688995361328,153.938232421875,-24645.681640625
11,186.22671508789062,156.87496948242188,-23148.037109375,183.15953063964844,153.94729614257812,-19866.349609375
12,186.4933319091797,157.2039794921875,-22399.697265625,183.1216583251953,153.9404754638672,-18340.291015625
13,186.20184326171875,156.89634704589844,-20040.05078125,183.0801544189453,153.90992736816406,-18790.431640625
14,186.39768981933594,157.17469787597656,-17895.97265625,183.0614471435547,153.8950958251953,-17898.5625
15,186.4434356689453,157.12550354003906,-17126.4921875,183.0435333251953,153.90150451660156,-16403.181640625
16,185.5823211669922,156.28781127929688,-15828.966796875,182.9617919921875,153.8080291748047,-14137.462890625
17,186.09063720703125,156.79913330078125,-14648.0869140625,182.92503356933594,153.81973266601562,-13581.7236328125
18,185.88540649414062,156.60546875,-13528.59375,182.9261474609375,153.8150634765625,-13763.849609375
19,186.3338623046875,157.03932189941406,-12606.0908203125,182.78855895996094,153.67576599121094,-11299.51171875
20,186.02337646484375,156.90219116210938,-11540.22265625,182.72560119628906,153.6236572265625,-10001.4716796875
