,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,184.61883544921875,155.12503051757812,-50600.01171875,186.69100952148438,157.2168426513672,-477648.65625
2,184.7373809814453,155.42349243164062,-53283.01953125,186.68679809570312,157.2882537841797,-100592.7734375
3,184.5288543701172,155.17388916015625,-47547.109375,186.6936798095703,157.35877990722656,-45092.234375
4,184.79237365722656,155.47523498535156,-44641.4140625,186.621337890625,157.299560546875,-42240.578125
5,184.25868225097656,154.8876953125,-40763.609375,186.5755157470703,157.23289489746094,-44341.08203125
6,184.4827117919922,155.19244384765625,-35342.515625,186.5733184814453,157.26414489746094,-40752.19921875
7,184.79037475585938,155.50445556640625,-33319.90625,186.51600646972656,157.22314453125,-28552.2421875
8,184.48526000976562,155.14785766601562,-29799.125,186.53208923339844,157.2567901611328,-29698.5390625
9,184.6806640625,155.4163055419922,-28006.61328125,186.4926300048828,157.20838928222656,-28043.5703125
10,184.40725708007812,155.10543823242188,-25168.94921875,186.41973876953125,157.179443359375,-23987.451171875
11,184.1842041015625,154.94049072265625,-23366.91796875,186.3741912841797,157.12660217285156,-23636.1875
12,184.19871520996094,154.84251403808594,-20479.26171875,186.3509521484375,157.0963592529297,-23919.494140625
13,184.09268188476562,154.81927490234375,-18862.8046875,186.2708282470703,157.0468292236328,-21106.79296875
14,184.36373901367188,155.12954711914062,-18250.291015625,186.2669677734375,157.0231475830078,-21373.857421875
15,184.62193298339844,155.45242309570312,-16878.02734375,186.24627685546875,157.05081176757812,-15895.107421875
16,184.39344787597656,155.19168090820312,-15242.4892578125,186.176025390625,156.96922302246094,-17338.69140625
17,183.9129638671875,154.73988342285156,-13979.080078125,186.10601806640625,156.94979858398438,-14304.638671875
18,183.6471405029297,154.46231079101562,-12780.9384765625,186.11187744140625,156.9868927001953,-12329.70703125
19,184.5115966796875,155.42803955078125,-11824.41015625,186.076171875,156.96902465820312,-11564.201171875
20,184.19671630859375,155.09719848632812,-10910.9033203125,185.97927856445312,156.87062072753906,-11371.6181640625
