,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,184.95535278320312,155.5130615234375,-50379.6015625,186.68589782714844,157.1620330810547,-570408.5
2,185.38375854492188,155.998046875,-50302.14453125,186.69654846191406,157.2493438720703,-62435.875
3,185.01478576660156,155.74989318847656,-49559.76171875,186.66091918945312,157.256591796875,-39549.9375
4,184.91693115234375,155.53582763671875,-46559.38671875,186.6094207763672,157.22193908691406,-30775.2109375
5,185.2212371826172,155.78546142578125,-41666.62890625,186.56883239746094,157.19467163085938,-30940.529296875
6,184.9235382080078,155.79116821289062,-38820.25390625,186.61141967773438,157.23081970214844,-27801.73046875
7,185.37612915039062,156.0343780517578,-33795.06640625,186.52920532226562,157.18215942382812,-26074.03515625
8,184.96241760253906,155.68658447265625,-32194.861328125,186.47705078125,157.1357879638672,-25675.763671875
9,185.03924560546875,155.66944885253906,-29738.6953125,186.39576721191406,157.080322265625,-21161.263671875
10,184.8568572998047,155.59402465820312,-27257.888671875,186.41380310058594,157.07278442382812,-24683.75390625
11,184.66818237304688,155.44947814941406,-23466.712890625,186.31613159179688,157.0009002685547,-24802.953125
12,185.08216857910156,155.83010864257812,-22331.48828125,186.34414672851562,157.06887817382812,-18017.5859375
13,184.83282470703125,155.59732055664062,-20257.830078125,186.27536010742188,157.02037048339844,-15779.9306640625
14,184.8552703857422,155.82554626464844,-18370.236328125,186.29196166992188,157.04112243652344,-15222.2216796875
15,184.4261016845703,155.19155883789062,-15511.271484375,186.2919921875,157.0245819091797,-15272.4755859375
16,184.77597045898438,155.61053466796875,-15594.0029296875,186.1762237548828,156.91348266601562,-15017.857421875
17,183.7439727783203,154.7423858642578,-13701.669921875,186.17996215820312,156.96951293945312,-14259.9208984375
18,184.6651153564453,155.58346557617188,-13416.765625,186.10606384277344,156.8894500732422,-12290.224609375
19,184.44886779785156,155.38894653320312,-12490.9580078125,186.07139587402344,156.87863159179688,-11320.4248046875
20,184.33956909179688,155.31686401367188,-11144.275390625,186.02035522460938,156.85682678222656,-10091.9306640625
