,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,186.7570037841797,157.2576141357422,-88082.375,183.50979614257812,154.12022399902344,-496183.90625
2,186.3604736328125,157.15478515625,-23419.609375,183.1331329345703,154.16880798339844,-14905.90625
3,186.08229064941406,157.17591857910156,-9682.4921875,182.6256561279297,153.9326171875,-5794.619140625
4,185.7197265625,156.9713134765625,-5341.5576171875,182.20541381835938,153.6866912841797,-3658.711669921875
5,185.29234313964844,156.68057250976562,-3489.63232421875,181.86622619628906,153.51524353027344,-2632.506103515625
6,184.99583435058594,156.6105499267578,-2573.634033203125,181.6288299560547,153.4196319580078,-2094.39892578125
7,184.62158203125,156.43682861328125,-2032.7796630859375,181.43389892578125,153.3685302734375,-1745.4464111328125
8,184.4996337890625,156.38739013671875,-1673.7867431640625,181.26087951660156,153.32371520996094,-1488.4796142578125
9,184.43487548828125,156.53627014160156,-1428.2344970703125,181.07603454589844,153.26083374023438,-1287.3857421875
10,183.85647583007812,155.98141479492188,-1234.90283203125,181.01651000976562,153.30099487304688,-1164.5450439453125
11,183.80291748046875,156.0551300048828,-1096.1724853515625,180.72445678710938,153.10325622558594,-1028.84326171875
12,183.62896728515625,155.96551513671875,-982.7921752929688,180.466796875,152.9370880126953,-923.7155151367188
13,183.0397491455078,155.5023956298828,-882.7294921875,180.40423583984375,152.9495086669922,-866.6710205078125
14,183.4197235107422,156.02418518066406,-808.5142211914062,180.39401245117188,153.02479553222656,-804.4515380859375
15,183.29542541503906,156.11251831054688,-738.6058349609375,180.10592651367188,152.84017944335938,-715.4349365234375
16,183.18655395507812,155.9469451904297,-676.7968139648438,179.78915405273438,152.6271514892578,-642.1932983398438
17,182.8067169189453,155.8016357421875,-625.2156372070312,179.7896728515625,152.6728515625,-619.266845703125
18,182.29324340820312,155.3385772705078,-577.136474609375,179.4943084716797,152.4703826904297,-565.294921875
19,182.2039337158203,155.2356719970703,-534.4093627929688,179.4573516845703,152.53453063964844,-530.9976806640625
20,182.30447387695312,155.55470275878906,-498.6816101074219,179.17953491210938,152.3507537841797,-477.0064392089844
