,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,184.58206176757812,155.20555114746094,-91153.9140625,186.75369262695312,157.3129119873047,-548556.0
2,184.84823608398438,155.6472625732422,-24240.931640625,186.3340606689453,157.31517028808594,-15944.0771484375
3,183.80551147460938,154.8557586669922,-9709.5654296875,185.71270751953125,156.99778747558594,-5792.287109375
4,183.286865234375,154.61517333984375,-5279.86474609375,185.2701416015625,156.73971557617188,-3623.288330078125
5,182.75732421875,154.20120239257812,-3416.932373046875,185.0421142578125,156.66281127929688,-2750.3544921875
6,182.88543701171875,154.42359924316406,-2539.171142578125,184.76812744140625,156.55752563476562,-2128.10302734375
7,182.54454040527344,154.36944580078125,-2007.468017578125,184.62689208984375,156.55992126464844,-1808.9647216796875
8,182.16268920898438,154.26744079589844,-1652.5491943359375,184.36270141601562,156.42813110351562,-1527.6116943359375
9,182.38975524902344,154.41746520996094,-1411.1177978515625,184.2014617919922,156.38441467285156,-1338.09375
10,181.66110229492188,153.74288940429688,-1222.5523681640625,183.80528259277344,156.088623046875,-1158.119140625
11,181.58953857421875,153.8928985595703,-1082.17041015625,183.70831298828125,156.06459045410156,-1076.345703125
12,181.54449462890625,153.93531799316406,-972.968017578125,183.55970764160156,156.05172729492188,-947.8432006835938
13,181.5528564453125,153.95147705078125,-878.7239990234375,183.43411254882812,156.03627014160156,-859.632568359375
14,181.45591735839844,154.1058349609375,-795.6925048828125,183.29473876953125,155.97361755371094,-800.6041259765625
15,181.52809143066406,154.11326599121094,-730.5486450195312,183.00863647460938,155.77537536621094,-731.8919677734375
16,181.06317138671875,153.80377197265625,-668.69189453125,182.90504455566406,155.775146484375,-675.5808715820312
17,180.96783447265625,153.8999481201172,-615.1774291992188,182.67604064941406,155.66500854492188,-608.009521484375
18,180.44131469726562,153.48426818847656,-566.800048828125,182.71080017089844,155.80056762695312,-574.474365234375
19,180.61688232421875,153.5884246826172,-529.0092163085938,181.88011169433594,154.96224975585938,-519.5328979492188
20,180.04539489746094,153.20809936523438,-486.0627136230469,182.1886749267578,155.42898559570312,-498.76629638671875
