,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.05946350097656,155.60682678222656,-67180.2734375,186.4552764892578,157.07546997070312,-120882.6171875
2,184.9043426513672,155.8126983642578,-33521.9921875,186.2791290283203,157.1414794921875,-20131.1640625
3,184.4449920654297,155.16336059570312,-18109.29296875,186.15721130371094,157.13148498535156,-12856.9306640625
4,184.37722778320312,155.41473388671875,-11823.7568359375,186.01376342773438,157.07957458496094,-9392.0400390625
5,183.941162109375,154.99522399902344,-8552.244140625,185.8660125732422,157.02951049804688,-7141.06689453125
6,183.4494171142578,154.67822265625,-6588.67138671875,185.6561279296875,156.9098663330078,-5559.4736328125
7,183.58787536621094,154.73475646972656,-5321.27880859375,185.5535888671875,156.87802124023438,-4792.69873046875
8,183.51458740234375,154.88327026367188,-4376.77001953125,185.41943359375,156.83200073242188,-3972.282470703125
9,183.82542419433594,155.2769012451172,-3660.4951171875,185.27426147460938,156.76693725585938,-3413.26123046875
10,183.01556396484375,154.5706787109375,-3084.82421875,185.222900390625,156.8211212158203,-2880.645263671875
11,183.56854248046875,155.09765625,-2684.461669921875,185.06881713867188,156.7499237060547,-2510.927001953125
12,182.7369384765625,154.24395751953125,-2314.56005859375,184.8524932861328,156.59898376464844,-2208.282470703125
13,183.0038604736328,154.77923583984375,-2053.904052734375,184.72869873046875,156.55091857910156,-1975.5931396484375
14,182.81790161132812,154.6945037841797,-1839.7528076171875,184.4633026123047,156.34036254882812,-1765.05810546875
15,182.62892150878906,154.49343872070312,-1653.1214599609375,184.382568359375,156.3332977294922,-1605.4019775390625
16,182.52957153320312,154.42288208007812,-1501.9453125,184.28427124023438,156.31198120117188,-1466.470947265625
17,182.6610107421875,154.6395263671875,-1375.9012451171875,184.1633758544922,156.26388549804688,-1334.671630859375
18,181.8311309814453,153.7671356201172,-1253.2828369140625,184.02139282226562,156.17027282714844,-1251.1915283203125
19,181.97866821289062,154.13377380371094,-1159.7862548828125,183.8927764892578,156.0877685546875,-1174.017333984375
20,182.1485137939453,154.20396423339844,-1075.3040771484375,183.76234436035156,156.04429626464844,-1073.9779052734375
