,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.16197204589844,155.94830322265625,-66303.9140625,186.45770263671875,157.01451110839844,-126068.6796875
2,184.97506713867188,155.70994567871094,-33152.85546875,186.3393096923828,157.10556030273438,-22640.8359375
3,184.9756317138672,155.8097686767578,-18056.443359375,186.2474365234375,157.12001037597656,-14258.5576171875
4,184.6307830810547,155.77122497558594,-11771.7294921875,186.08529663085938,157.05355834960938,-9952.669921875
5,184.3596649169922,155.3997802734375,-8565.025390625,185.98683166503906,157.05032348632812,-7606.36279296875
6,184.46102905273438,155.74899291992188,-6668.53271484375,185.77865600585938,156.92640686035156,-5959.6240234375
7,184.00723266601562,155.28466796875,-5359.87548828125,185.6260986328125,156.868408203125,-4802.06591796875
8,183.8333282470703,155.25579833984375,-4405.96533203125,185.52076721191406,156.8444366455078,-4056.271240234375
9,183.76431274414062,155.23228454589844,-3705.077880859375,185.33787536621094,156.75672912597656,-3360.962646484375
10,183.8595428466797,155.36814880371094,-3168.156494140625,185.20111083984375,156.7028045654297,-2926.112060546875
11,183.11610412597656,154.93655395507812,-2723.321533203125,185.03961181640625,156.61550903320312,-2562.3447265625
12,183.38671875,155.0384521484375,-2385.5751953125,184.87803649902344,156.54513549804688,-2213.10546875
13,182.99928283691406,154.81019592285156,-2092.48291015625,184.71261596679688,156.44534301757812,-1997.0772705078125
14,182.705810546875,154.55369567871094,-1866.3211669921875,184.55117797851562,156.36328125,-1767.380126953125
15,183.0565643310547,155.06236267089844,-1687.4649658203125,184.3751220703125,156.26316833496094,-1589.227294921875
16,183.0582275390625,155.09112548828125,-1532.9754638671875,184.2624969482422,156.21701049804688,-1455.853271484375
17,182.54698181152344,154.69627380371094,-1395.9005126953125,184.04702758789062,156.05101013183594,-1356.2242431640625
18,182.79537963867188,154.96697998046875,-1284.914306640625,184.11181640625,156.18519592285156,-1268.69873046875
19,182.1712188720703,154.42999267578125,-1178.6627197265625,183.842041015625,155.9833221435547,-1151.2816162109375
20,182.45028686523438,154.71636962890625,-1092.8470458984375,183.65679931640625,155.84500122070312,-1077.75927734375
