,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.16876220703125,156.03463745117188,-27905.5234375,186.25363159179688,157.09866333007812,-16960.724609375
2,184.11160278320312,155.39234924316406,-5015.3310546875,185.14678955078125,156.7084197998047,-2643.7578125
3,182.54502868652344,154.42636108398438,-1709.235595703125,183.44444274902344,155.57534790039062,-1105.765625
4,181.30836486816406,153.72802734375,-776.544189453125,182.05038452148438,154.87464904785156,-563.5723876953125
5,179.4300079345703,152.6640625,-420.807373046875,179.67398071289062,153.16604614257812,-328.02728271484375
6,177.2870635986328,151.15843200683594,-252.67733764648438,178.00941467285156,152.191650390625,-212.5413360595703
7,175.01463317871094,149.64971923828125,-159.40560913085938,173.36911010742188,147.50794982910156,-148.5854034423828
8,172.43255615234375,147.6923370361328,-104.88182830810547,172.67755126953125,147.8496856689453,-102.45990753173828
9,169.31903076171875,145.5054168701172,-70.91829681396484,169.75440979003906,146.46737670898438,-62.54899597167969
10,165.9507293701172,143.05612182617188,-49.45351791381836,164.65716552734375,141.54664611816406,-46.54908752441406
11,162.0338134765625,139.93191528320312,-35.12600326538086,159.04750061035156,136.46182250976562,-33.70795822143555
12,158.86595153808594,137.69322204589844,-25.7329158782959,161.23487854003906,141.1289825439453,-22.578712463378906
13,154.2134246826172,134.01063537597656,-18.68181800842285,157.4819793701172,137.87716674804688,-18.088293075561523
14,150.3031463623047,131.1746368408203,-13.835161209106445,148.8704376220703,129.60845947265625,-13.262019157409668
15,145.76271057128906,127.2694320678711,-10.40935230255127,139.04345703125,120.97731018066406,-7.544590950012207
16,141.37913513183594,123.86588287353516,-7.726400375366211,151.95211791992188,135.30712890625,-9.020089149475098
17,136.00534057617188,119.64216613769531,-5.688594818115234,127.05790710449219,111.6189956665039,-3.4055395126342773
18,131.0508575439453,115.40817260742188,-4.221246719360352,126.46692657470703,109.55491638183594,-3.9886908531188965
19,126.28338623046875,111.69701385498047,-3.1574602127075195,138.10801696777344,120.19856262207031,-6.3664045333862305
20,121.00740051269531,106.81914520263672,-2.2953078746795654,119.18689727783203,104.21110534667969,-2.4142422676086426
