,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.95083618164062,156.50234985351562,-62362.83984375,183.35609436035156,154.00439453125,-210254.40625
2,185.80067443847656,156.5215301513672,-23636.869140625,182.76995849609375,153.8218994140625,-13539.23046875
3,185.68287658691406,156.71669006347656,-9123.0576171875,182.30006408691406,153.6871795654297,-4734.77587890625
4,184.97975158691406,156.2078857421875,-4581.28173828125,181.7715301513672,153.2835235595703,-3523.21435546875
5,184.22225952148438,155.78009033203125,-2904.1787109375,181.0965576171875,152.76222229003906,-2462.923095703125
6,183.69618225097656,155.56813049316406,-2002.4793701171875,180.3704071044922,152.3692169189453,-1481.803955078125
7,183.38961791992188,155.25515747070312,-1422.3077392578125,179.75848388671875,151.88917541503906,-1144.210205078125
8,181.83192443847656,154.0471954345703,-1014.7662963867188,179.56382751464844,151.73927307128906,-1016.5143432617188
9,181.68704223632812,153.96481323242188,-760.9783935546875,177.6550750732422,150.26437377929688,-598.4414672851562
10,180.18460083007812,152.83428955078125,-574.7733154296875,175.92381286621094,148.7984619140625,-435.090087890625
11,179.52340698242188,152.45123291015625,-446.2630310058594,176.97213745117188,150.07736206054688,-418.7709045410156
12,178.39344787597656,151.58230590820312,-350.10693359375,174.52935791015625,147.9238739013672,-298.4808044433594
13,177.1401824951172,150.6636199951172,-278.0212097167969,176.6284942626953,149.60433959960938,-366.04571533203125
14,176.42794799804688,150.3647918701172,-224.50823974609375,172.8929901123047,146.90660095214844,-201.1239013671875
15,174.8328094482422,148.9645538330078,-181.4424285888672,172.51792907714844,146.65283203125,-176.728515625
16,173.45098876953125,148.20440673828125,-148.3647003173828,170.4334259033203,145.40296936035156,-122.49910736083984
17,172.6180419921875,147.57504272460938,-123.33297729492188,167.95431518554688,142.9687042236328,-104.37289428710938
18,171.0215301513672,146.2732696533203,-102.41792297363281,166.9475555419922,142.26007080078125,-91.4157485961914
19,169.0791778564453,144.68226623535156,-85.46541595458984,167.928955078125,143.71742248535156,-72.51410675048828
20,168.2302703857422,143.8862762451172,-72.6108169555664,169.34967041015625,145.11729431152344,-84.52458953857422
