,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,187.08546447753906,157.56866455078125,-59953.08984375,183.9971160888672,154.6809539794922,-99138.7109375
2,186.99217224121094,157.7017822265625,-28482.205078125,183.42767333984375,154.2969512939453,-20230.7578125
3,186.7398681640625,157.5050506591797,-18582.572265625,183.30323791503906,154.2556915283203,-16051.6533203125
4,186.4785919189453,157.30690002441406,-14653.697265625,183.17123413085938,154.16024780273438,-13814.5302734375
5,186.51925659179688,157.47093200683594,-12256.732421875,183.12698364257812,154.17745971679688,-12043.234375
6,186.415771484375,157.28372192382812,-10369.716796875,182.99368286132812,154.0729217529297,-9861.203125
7,186.1529083251953,157.2746124267578,-9191.568359375,182.87753295898438,153.99508666992188,-8488.025390625
8,186.10958862304688,157.08062744140625,-8111.2197265625,182.80235290527344,153.95529174804688,-7218.70166015625
9,186.06851196289062,157.1552734375,-7351.2890625,182.73257446289062,153.8778839111328,-6740.0830078125
10,185.73594665527344,156.72576904296875,-6590.41455078125,182.69586181640625,153.9069366455078,-6216.30517578125
11,185.703369140625,156.85317993164062,-6034.33984375,182.56170654296875,153.80361938476562,-5707.8125
12,185.36013793945312,156.5911102294922,-5508.99365234375,182.6095428466797,153.8615264892578,-5529.232421875
13,185.58847045898438,156.8742218017578,-5035.978515625,182.45916748046875,153.75308227539062,-4651.640625
14,185.367431640625,156.56629943847656,-4681.14697265625,182.36061096191406,153.72216796875,-4242.19091796875
15,185.06253051757812,156.28802490234375,-4317.10400390625,182.25709533691406,153.6427459716797,-3916.77099609375
16,185.95162963867188,157.26470947265625,-4073.448486328125,182.13601684570312,153.54661560058594,-3693.737060546875
17,185.05645751953125,156.2594757080078,-3759.74853515625,182.18597412109375,153.62474060058594,-3644.84619140625
18,185.2192840576172,156.63119506835938,-3560.46728515625,181.9947967529297,153.45095825195312,-3307.907470703125
19,185.26119995117188,156.58026123046875,-3314.93115234375,182.05792236328125,153.55735778808594,-3150.003173828125
20,185.0083465576172,156.40357971191406,-3153.351806640625,181.93527221679688,153.44100952148438,-3050.87353515625
