,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.35354614257812,155.98934936523438,-87727.21875,186.97921752929688,157.64242553710938,-159796.109375
2,184.76528930664062,155.50465393066406,-38443.30859375,186.6560516357422,157.565185546875,-22522.923828125
3,184.9755859375,155.93423461914062,-17847.8359375,186.35275268554688,157.41354370117188,-11777.56640625
4,184.3618927001953,155.40892028808594,-10432.173828125,185.9796905517578,157.16842651367188,-7440.1845703125
5,183.88772583007812,154.92247009277344,-7076.25830078125,185.91281127929688,157.17567443847656,-6143.0693359375
6,183.54345703125,154.79037475585938,-5156.11328125,185.50759887695312,156.90977478027344,-4382.28125
7,182.6966552734375,154.1735382080078,-3921.902099609375,185.02349853515625,156.47927856445312,-3450.652587890625
8,183.29969787597656,154.79823303222656,-3093.572021484375,184.5491180419922,156.19247436523438,-2459.964599609375
9,183.04110717773438,154.9129180908203,-2404.301513671875,184.675048828125,156.40220642089844,-2231.077880859375
10,182.31248474121094,153.95628356933594,-1930.4727783203125,183.95953369140625,155.849365234375,-1669.436279296875
11,182.12513732910156,154.0061798095703,-1561.22021484375,183.71217346191406,155.76206970214844,-1373.6507568359375
12,181.46524047851562,153.5662384033203,-1273.0933837890625,183.40869140625,155.54165649414062,-1209.21337890625
13,180.96859741210938,153.08099365234375,-1048.7158203125,182.8565216064453,155.1049346923828,-1001.5012817382812
14,180.54495239257812,152.9728240966797,-870.4678344726562,181.5885009765625,154.19273376464844,-629.7876586914062
15,180.06884765625,152.69517517089844,-725.2391357421875,182.05715942382812,154.5255584716797,-761.9407958984375
16,179.50404357910156,152.07794189453125,-608.6380615234375,180.76324462890625,153.63998413085938,-500.0132751464844
17,178.3668212890625,151.07763671875,-511.35540771484375,180.7609405517578,153.3534393310547,-609.7642211914062
18,177.9983673095703,150.95831298828125,-437.6128845214844,180.6478729248047,153.65774536132812,-459.4869384765625
19,177.94386291503906,151.08712768554688,-376.8749084472656,178.6121368408203,151.84669494628906,-352.6700439453125
20,177.2425079345703,150.5467071533203,-318.35760498046875,178.40213012695312,151.78919982910156,-310.4313659667969
