,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,186.55369567871094,157.31759643554688,-29290.58984375,183.2279510498047,153.9657745361328,-67244.140625
2,186.03680419921875,157.13906860351562,-7263.53271484375,182.17323303222656,153.60899353027344,-4161.07421875
3,185.23056030273438,156.58009338378906,-3448.0908203125,181.4693145751953,153.20533752441406,-2223.40673828125
4,184.66738891601562,156.41302490234375,-1862.941650390625,180.7119903564453,152.728515625,-1446.59423828125
5,183.24497985839844,155.51231384277344,-1118.657470703125,179.77622985839844,152.1779022216797,-913.13330078125
6,182.3274383544922,154.98495483398438,-751.4857177734375,179.2329559326172,151.948486328125,-665.5411376953125
7,181.7333221435547,154.67337036132812,-530.5261840820312,178.99505615234375,152.29855346679688,-438.00067138671875
8,180.4713897705078,153.79324340820312,-381.91558837890625,175.71066284179688,149.2246551513672,-305.3783874511719
9,178.97630310058594,152.77096557617188,-281.0823974609375,177.11146545410156,150.78724670410156,-299.3060607910156
10,177.4435577392578,151.53225708007812,-210.95486450195312,173.7293243408203,148.0160369873047,-179.3059539794922
11,175.78236389160156,150.51565551757812,-161.43467712402344,173.92636108398438,148.48483276367188,-165.53036499023438
12,174.06402587890625,149.22000122070312,-125.4591293334961,170.72235107421875,145.7816925048828,-118.28192138671875
13,172.60467529296875,148.3986358642578,-99.20176696777344,169.571533203125,144.40914916992188,-111.92318725585938
14,170.41754150390625,146.7174835205078,-78.7343521118164,168.1059112548828,144.599853515625,-67.5443344116211
15,169.00436401367188,145.67459106445312,-63.67378234863281,165.80999755859375,141.9275665283203,-69.22183227539062
16,167.21006774902344,144.5843048095703,-51.741878509521484,163.1101531982422,140.3558807373047,-47.155548095703125
17,164.6367950439453,142.57839965820312,-41.949520111083984,165.4539794921875,143.11134338378906,-45.21054458618164
18,162.5789031982422,141.05784606933594,-34.50890350341797,160.66610717773438,138.37942504882812,-36.98549270629883
19,160.5293731689453,139.70492553710938,-28.557790756225586,158.9600372314453,137.17611694335938,-30.996498107910156
20,157.37887573242188,137.09616088867188,-23.422582626342773,156.85328674316406,136.1079559326172,-24.381853103637695
