,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,184.4667205810547,155.24581909179688,-27858.126953125,186.2567901611328,157.0206756591797,-41003.2578125
2,183.57669067382812,154.77772521972656,-6675.7470703125,185.4788360595703,156.81796264648438,-4866.564453125
3,183.27516174316406,154.75379943847656,-3167.276611328125,184.8250732421875,156.60215759277344,-2259.269775390625
4,182.201904296875,154.03955078125,-1721.898681640625,183.51528930664062,155.6535186767578,-1188.0718994140625
5,181.31915283203125,153.4067840576172,-1071.8056640625,183.0034942626953,155.26344299316406,-1057.2071533203125
6,180.3473358154297,152.95726013183594,-725.0039672851562,182.54153442382812,155.41073608398438,-624.2520751953125
7,179.061767578125,152.10028076171875,-509.74444580078125,180.3308868408203,153.30360412597656,-480.4298095703125
8,178.19790649414062,151.51632690429688,-370.4197692871094,180.5723419189453,154.17933654785156,-363.65106201171875
9,177.6544952392578,151.50042724609375,-276.50201416015625,178.04425048828125,152.03201293945312,-241.00497436523438
10,175.7223663330078,149.89390563964844,-206.72219848632812,177.25962829589844,151.3058624267578,-216.8959503173828
11,174.03729248046875,148.75747680664062,-158.15936279296875,177.79896545410156,151.93798828125,-215.68212890625
12,172.19415283203125,147.45236206054688,-122.96440887451172,176.2118377685547,151.4177703857422,-133.6224822998047
13,170.34864807128906,145.95919799804688,-96.73728942871094,172.4274139404297,147.46365356445312,-120.56958770751953
14,168.67327880859375,144.81765747070312,-77.2054672241211,171.10401916503906,147.5679931640625,-76.2168197631836
15,166.74270629882812,143.4998016357422,-61.97560119628906,169.3800048828125,145.82054138183594,-70.05815887451172
16,164.76004028320312,142.07733154296875,-50.210723876953125,166.6185760498047,144.3756103515625,-47.462608337402344
17,162.36558532714844,140.286865234375,-40.824562072753906,161.4549102783203,139.8000030517578,-35.987571716308594
18,160.62318420410156,139.09268188476562,-33.72464370727539,159.7022247314453,137.59461975097656,-33.89382553100586
19,158.3695526123047,137.1177520751953,-27.82685089111328,158.81785583496094,137.25244140625,-29.64864730834961
20,155.62741088867188,135.3738555908203,-22.95156478881836,159.718994140625,138.08287048339844,-30.163043975830078
