,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,186.66688537597656,157.1660614013672,-34919.28515625,182.98326110839844,153.75106811523438,-32092.451171875
2,185.24752807617188,156.15554809570312,-7345.1611328125,181.97970581054688,153.4272003173828,-3278.934814453125
3,185.18882751464844,156.5062255859375,-2742.54931640625,181.21632385253906,153.125,-1559.1622314453125
4,183.95152282714844,155.8977813720703,-1344.35400390625,180.1786651611328,152.5365447998047,-901.400146484375
5,182.3592987060547,154.8748321533203,-785.432373046875,179.70640563964844,152.39857482910156,-641.0321044921875
6,181.1483154296875,153.97259521484375,-501.6872253417969,179.01458740234375,152.07472229003906,-458.6444396972656
7,179.54100036621094,153.07229614257812,-331.0841064453125,176.74806213378906,150.35696411132812,-295.2828674316406
8,177.94061279296875,151.9240264892578,-230.6821746826172,174.3287811279297,148.5440673828125,-191.21177673339844
9,176.38858032226562,150.79428100585938,-167.11851501464844,171.2760772705078,145.63552856445312,-146.2876739501953
10,174.67112731933594,149.73199462890625,-123.38396453857422,170.9969482421875,146.15237426757812,-110.96826934814453
11,172.60311889648438,148.28932189941406,-90.76957702636719,166.9566650390625,142.7263946533203,-75.16661834716797
12,170.04014587402344,146.42276000976562,-69.17953491210938,166.0535125732422,142.70968627929688,-58.86066436767578
13,167.7664031982422,144.71421813964844,-53.351966857910156,165.2257537841797,141.9763946533203,-53.15630340576172
14,165.08175659179688,142.85362243652344,-41.051029205322266,156.4387664794922,134.0087432861328,-32.1941032409668
15,162.36138916015625,140.72499084472656,-32.318729400634766,159.9095458984375,137.82395935058594,-33.243934631347656
16,159.82858276367188,138.81887817382812,-25.695920944213867,160.5581512451172,137.97775268554688,-33.878143310546875
17,156.8709716796875,136.65025329589844,-20.454708099365234,148.80775451660156,127.10762786865234,-19.81903839111328
18,153.02471923828125,133.43844604492188,-16.080772399902344,149.4876251220703,129.46412658691406,-15.21668815612793
19,149.9379425048828,131.14646911621094,-12.98019790649414,139.3955535888672,120.53680419921875,-9.081567764282227
20,146.97637939453125,128.68441772460938,-10.464877128601074,140.30445861816406,122.12323760986328,-8.439542770385742
